"","Blongum_20_1_S82_aligned.bam","Blongum_20_2_S83_aligned.bam","Blongum_20_3_S84_aligned.bam","Blongum_20_4_S85_aligned.bam","Blongum_20_5_S86_aligned.bam","Blongum_200_1_S87_aligned.bam","Blongum_200_2_S88_aligned.bam","Blongum_200_3_S89_aligned.bam","Blongum_200_4_S90_aligned.bam","Blongum_200_5_S91_aligned.bam","Blongum_Veh_1_S77_aligned.bam","Blongum_Veh_2_S78_aligned.bam","Blongum_Veh_3_S79_aligned.bam","Blongum_Veh_4_S80_aligned.bam","Blongum_Veh_5_S81_aligned.bam"
"BLLJ_RS04690",19,34,44,48,29,14,9,3,13,8,19,31,25,12,25
"BLLJ_RS04695",20,32,35,29,27,11,10,3,9,21,18,16,12,10,12
"BLLJ_RS04700",15,6,12,10,10,2,1,0,2,3,5,8,1,8,6
"BLLJ_RS04705",29,27,57,62,31,21,22,5,17,15,31,40,40,24,23
"BLLJ_RS04710",9,9,7,9,5,6,0,0,4,4,6,13,5,4,8
"BLLJ_RS04715",0,2,5,12,3,1,0,0,0,5,3,7,0,2,0
"BLLJ_RS04720",11,10,23,34,26,11,7,5,9,9,11,28,18,17,18
"BLLJ_RS04725",5,10,12,4,13,7,5,3,7,6,8,10,3,4,3
"BLLJ_RS11415",2,7,6,9,1,4,1,5,0,12,4,4,1,2,6
"BLLJ_RS04735",4,4,3,3,1,4,0,0,1,4,1,6,2,6,3
"BLLJ_RS04740",15,24,44,40,30,22,11,3,18,9,13,24,12,15,15
"BLLJ_RS04745",1,4,0,3,4,5,7,2,2,2,4,7,2,4,7
"BLLJ_RS10025",50,61,71,85,54,114,71,30,62,67,45,104,49,58,66
"BLLJ_RS04755",12,20,18,25,11,10,8,3,11,15,19,15,16,13,11
"BLLJ_RS04760",3,2,6,3,6,7,2,0,2,3,2,0,2,6,3
"BLLJ_RS04765",8,6,3,10,5,2,2,2,10,7,4,5,4,5,5
"BLLJ_RS04770",6,9,17,18,6,7,3,0,4,3,1,3,0,4,8
"BLLJ_RS04775",1,1,4,1,2,0,0,0,0,1,0,1,0,3,0
"BLLJ_RS11420",3,2,1,1,5,0,1,0,1,2,0,0,0,0,4
"BLLJ_RS04780",3,2,10,4,4,0,3,2,0,6,3,2,4,2,6
"BLLJ_RS04785",2,15,16,13,11,11,4,2,2,9,7,10,12,12,9
"BLLJ_RS11040",28,49,53,68,37,37,13,13,25,43,34,36,34,43,19
"BLLJ_RS04790",22,30,25,24,24,24,14,3,18,19,23,25,17,25,16
"BLLJ_RS04795",31,24,41,58,31,27,12,10,17,32,20,40,15,44,16
"BLLJ_RS04800",5,11,15,13,4,2,1,5,1,2,4,7,4,4,3
"BLLJ_RS04805",2,3,5,7,4,2,1,0,4,4,3,9,0,6,3
"BLLJ_RS04810",0,3,2,0,0,0,0,0,0,3,0,1,0,1,0
"BLLJ_RS04815",0,4,0,3,2,1,0,2,0,0,0,1,0,2,0
"BLLJ_RS04820",16,38,46,56,27,23,19,11,17,27,29,30,19,36,30
"BLLJ_RS04825",1,3,1,5,1,1,0,1,0,0,1,2,4,1,2
"BLLJ_RS04830",2,3,3,8,1,3,1,1,0,1,0,2,0,8,0
"BLLJ_RS04835",4,3,0,1,0,0,0,1,1,2,2,1,0,4,1
"BLLJ_RS04840",3,3,8,1,3,3,0,1,0,0,2,4,1,5,1
"BLLJ_RS04845",4,2,6,6,1,2,1,0,1,3,4,3,1,2,4
"BLLJ_RS04850",1,4,5,4,2,2,0,0,1,3,1,3,1,4,1
"BLLJ_RS04855",10,4,5,18,13,9,5,4,9,1,7,13,5,5,10
"BLLJ_RS10420",14,28,33,18,7,13,11,5,11,14,20,25,15,17,12
"BLLJ_RS04950",29,46,43,64,38,28,16,14,19,29,44,25,24,32,26
"BLLJ_RS04955",99,137,212,185,112,50,41,46,40,100,87,104,89,90,84
"BLLJ_RS04970",48,122,106,111,53,27,30,8,35,45,43,41,36,38,32
"BLLJ_RS04975",5,6,12,14,7,7,1,0,0,4,3,4,4,4,1
"BLLJ_RS04980",22,19,32,35,12,8,5,2,6,10,6,20,18,10,11
"BLLJ_RS04985",86,116,155,191,117,69,38,22,57,80,87,92,57,89,73
"BLLJ_RS04990",44,58,82,48,60,21,9,4,12,44,34,45,25,60,32
"BLLJ_RS10030",690,960,1121,1276,832,307,250,169,363,503,539,599,367,629,420
"BLLJ_RS05000",30,43,37,33,44,15,18,7,9,15,20,16,20,18,10
"BLLJ_RS05005",10,6,19,15,17,8,4,0,2,15,4,13,12,3,7
"BLLJ_RS05010",3,8,6,19,3,0,6,1,3,1,5,5,3,5,13
"BLLJ_RS05015",66,117,138,116,103,43,34,7,37,41,40,79,35,48,37
"BLLJ_RS05020",4,12,5,7,2,8,3,0,1,2,0,9,0,2,3
"BLLJ_RS05025",1,3,4,8,5,1,1,4,1,5,0,9,0,9,1
"BLLJ_RS05030",5,26,16,12,10,5,6,3,2,7,3,6,0,6,6
"BLLJ_RS05035",0,3,6,12,4,0,0,1,0,2,1,1,1,3,0
"BLLJ_RS05040",10,9,20,4,6,2,2,4,5,7,6,4,4,12,2
"BLLJ_RS05045",12,22,18,17,19,5,3,3,6,3,5,18,14,18,8
"BLLJ_RS05050",35,58,61,54,35,34,22,14,19,33,32,41,30,54,43
"BLLJ_RS05055",78,104,143,145,90,66,51,22,57,88,66,83,76,95,67
"BLLJ_RS05060",3,10,1,3,0,5,1,1,0,1,1,1,2,6,0
"BLLJ_RS05065",1,4,5,7,6,5,2,1,2,3,2,5,2,3,3
"BLLJ_RS05070",9,13,5,12,15,5,5,3,2,1,4,2,0,7,2
"BLLJ_RS05075",12,27,26,23,17,10,14,9,9,11,21,23,14,16,6
"BLLJ_RS05080",9,8,13,9,12,1,3,3,3,16,2,8,5,2,4
"BLLJ_RS10035",5,11,9,14,11,4,1,1,3,1,1,4,4,1,1
"BLLJ_RS05090",0,0,0,2,0,3,1,0,2,1,0,0,0,0,1
"BLLJ_RS05095",53,77,79,72,55,29,31,9,26,29,36,68,24,42,44
"BLLJ_RS05100",5,11,18,14,8,1,3,1,4,5,4,6,7,0,6
"BLLJ_RS05105",6,9,11,17,9,2,2,0,1,1,6,4,2,2,1
"BLLJ_RS05110",66,112,139,151,107,71,52,25,62,94,70,96,85,80,58
"BLLJ_RS05115",123,172,221,249,188,104,86,39,82,146,147,157,86,134,86
"BLLJ_RS05120",35,34,62,62,25,32,17,16,28,21,21,37,20,40,27
"BLLJ_RS05125",29,34,52,48,28,57,33,17,22,34,45,47,24,27,21
"BLLJ_RS05130",190,234,300,288,115,572,381,240,396,512,220,349,181,180,204
"BLLJ_RS05135",537,716,946,1009,549,2164,1359,784,1645,1847,826,1338,682,836,763
"BLLJ_RS05140",9,13,21,17,7,33,20,6,30,14,21,18,11,19,25
"BLLJ_RS05145",4,3,6,5,1,4,1,0,0,0,0,0,4,3,0
"BLLJ_RS05150",3,1,0,1,2,0,2,0,0,0,1,2,0,2,1
"BLLJ_RS05155",4,3,6,1,2,2,0,0,1,1,2,2,4,3,0
"BLLJ_RS10040",17,23,26,30,13,7,6,2,10,6,10,8,10,8,19
"BLLJ_RS11045",11,11,4,11,5,5,3,1,5,2,2,9,2,12,11
"BLLJ_RS05165",184,272,362,398,235,217,140,77,160,312,176,204,139,241,185
"BLLJ_RS05170",298,511,594,643,353,470,333,182,333,549,293,371,235,383,313
"BLLJ_RS05175",74,102,109,133,94,56,33,18,55,75,81,104,64,75,53
"BLLJ_RS11425",43,57,77,69,61,34,23,7,22,26,51,49,23,40,42
"BLLJ_RS05185",4,3,3,8,5,1,1,1,1,3,0,0,6,2,2
"BLLJ_RS05190",3,17,22,25,11,1,0,1,1,7,6,6,8,7,0
"BLLJ_RS05200",7,7,25,12,17,5,4,1,5,12,8,15,2,12,4
"BLLJ_RS05205",18,23,24,30,31,6,5,3,6,15,12,11,8,15,7
"BLLJ_RS05210",18,27,35,37,25,2,14,7,9,14,19,28,18,25,17
"BLLJ_RS05215",5,13,7,8,3,5,1,1,2,2,5,6,4,6,5
"BLLJ_RS05220",17,38,37,42,31,12,4,1,11,15,21,27,13,22,10
"BLLJ_RS05225",43,70,108,116,74,34,18,18,24,47,30,36,19,32,27
"BLLJ_RS05230",25,24,32,43,24,8,2,1,9,10,10,20,3,7,14
"BLLJ_RS05235",5,23,17,24,8,3,4,2,5,8,6,22,4,5,12
"BLLJ_RS05240",4,3,0,2,0,0,0,0,0,0,0,0,0,2,1
"BLLJ_RS05245",8,8,5,9,4,3,0,0,0,3,5,9,2,5,4
"BLLJ_RS11430",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"BLLJ_RS05250",4,4,5,10,6,2,1,2,0,5,0,3,1,2,7
"BLLJ_RS05255",87,157,199,235,140,72,63,33,51,60,80,103,54,100,72
"BLLJ_RS05260",19,18,24,16,17,5,8,0,7,10,13,12,4,6,10
"BLLJ_RS05265",11,10,23,18,11,5,5,2,9,11,2,13,9,9,5
"BLLJ_RS05270",10,21,25,29,20,9,3,3,5,11,11,8,12,11,13
"BLLJ_RS05275",16,9,10,16,7,3,11,4,5,10,16,10,3,13,11
"BLLJ_RS05280",25,37,47,64,32,22,14,9,17,26,28,20,27,12,19
"BLLJ_RS05285",12,26,21,30,8,5,0,0,4,10,6,13,14,10,11
"BLLJ_RS05290",7,11,36,16,20,6,2,1,10,2,10,17,5,15,9
"BLLJ_RS05295",5,14,9,13,5,1,6,0,5,1,10,5,3,9,7
"BLLJ_RS05300",2,3,9,3,7,2,2,0,0,2,0,4,2,1,2
"BLLJ_RS10045",19,26,28,37,28,7,10,9,2,13,8,16,19,11,12
"BLLJ_RS05315",60,70,75,93,49,41,25,15,26,44,57,63,60,55,31
"BLLJ_RS05320",8,12,13,14,3,6,6,5,9,16,8,9,4,6,4
"BLLJ_RS05325",17,24,22,28,18,14,7,4,12,18,9,16,10,29,19
"BLLJ_RS05330",4,5,3,0,3,0,1,0,0,2,0,4,0,2,0
"BLLJ_RS05335",9,4,8,9,6,4,3,3,2,4,14,8,3,4,6
"BLLJ_RS05340",5,9,11,9,8,2,1,2,5,7,4,4,0,3,4
"BLLJ_RS05345",17,29,42,38,15,12,8,3,7,22,20,20,10,23,6
"BLLJ_RS05350",9,7,21,14,8,7,1,3,4,7,4,8,5,5,11
"BLLJ_RS05355",4,16,18,26,9,14,14,4,3,10,9,13,9,13,11
"BLLJ_RS05360",17,27,36,50,26,13,14,12,13,17,13,29,21,13,9
"BLLJ_RS05365",56,82,58,86,57,57,38,27,44,33,51,76,43,45,55
"BLLJ_RS05370",333,390,573,591,301,684,429,322,565,746,430,605,320,404,397
"BLLJ_RS05375",158,191,223,250,128,281,176,118,223,291,227,257,134,154,198
"BLLJ_RS05380",40,61,70,83,56,28,13,14,25,38,39,45,29,44,22
"BLLJ_RS11435",94,105,136,164,143,59,36,21,37,59,104,96,82,96,69
"BLLJ_RS05395",23,12,24,26,21,2,5,1,8,8,11,18,4,15,9
"BLLJ_RS05400",29,48,54,39,40,9,14,4,18,23,30,33,13,31,17
"BLLJ_RS05405",19,33,48,46,33,11,5,5,7,17,11,13,17,11,13
"BLLJ_RS05410",99,97,139,165,68,47,56,20,57,63,56,42,38,58,34
"BLLJ_RS05415",21,34,46,69,28,20,13,11,17,25,27,41,28,38,18
"BLLJ_RS05420",102,127,195,175,109,49,34,21,57,103,94,102,80,82,63
"BLLJ_RS05425",4,18,17,10,9,4,2,1,3,6,4,1,3,3,2
"BLLJ_RS11440",9,8,15,18,8,10,6,5,10,4,7,13,5,9,4
"BLLJ_RS05435",24,23,47,45,33,15,9,7,12,20,20,23,15,28,22
"BLLJ_RS05440",7,7,2,10,3,9,1,1,1,4,9,6,4,6,3
"BLLJ_RS05445",0,4,3,3,2,0,0,0,0,0,0,2,1,3,0
"BLLJ_RS05450",67,75,99,136,81,55,33,21,19,35,38,39,29,36,30
"BLLJ_RS05455",2,5,8,12,4,2,0,4,5,4,0,6,7,5,5
"BLLJ_RS05460",20,19,48,39,21,11,7,1,7,10,5,7,13,11,7
"BLLJ_RS05465",15,8,16,22,16,5,4,3,1,5,4,2,2,10,5
"BLLJ_RS05470",11,8,6,17,7,2,6,2,0,2,8,9,5,4,4
"BLLJ_RS11445",177,209,277,299,165,183,123,30,136,186,148,191,137,176,128
"BLLJ_RS05480",47,82,94,111,53,44,30,11,53,54,49,65,45,53,43
"BLLJ_RS05485",16,14,24,26,21,10,10,6,14,8,18,8,10,17,9
"BLLJ_RS05490",35,41,45,46,24,17,26,10,13,34,24,22,20,34,13
"BLLJ_RS05495",111,114,157,201,68,116,93,64,103,128,122,159,110,87,71
"BLLJ_RS05500",171,214,303,346,154,538,360,165,306,373,219,311,200,215,168
"BLLJ_RS05505",457,704,799,919,583,2466,1603,850,2168,1488,551,846,523,690,465
"BLLJ_RS05510",273,381,466,439,245,440,324,125,260,336,302,364,216,288,230
"BLLJ_RS05515",121,143,151,171,78,199,162,68,130,137,129,209,109,105,95
"BLLJ_RS05520",2925,3627,4274,4443,2707,3997,2810,1531,2470,3844,2210,2919,2117,2349,1761
"BLLJ_RS05525",2943,4136,5820,4969,2809,6745,4621,3319,4735,8752,3221,4418,2640,2804,3037
"BLLJ_RS05535",582,845,1052,1073,626,688,489,249,410,723,571,588,450,603,447
"BLLJ_RS05540",755,932,1114,1272,590,672,439,249,463,774,694,890,636,587,492
"BLLJ_RS05545",609,943,1253,1285,714,1460,1086,437,684,1257,594,837,633,653,553
"BLLJ_RS10450",96,99,179,157,47,165,129,56,110,166,84,163,100,122,129
"BLLJ_RS05550",923,1472,1694,1721,986,889,779,429,648,1295,729,868,654,742,585
"BLLJ_RS05555",172,236,312,364,123,631,453,179,295,389,178,221,128,172,141
"BLLJ_RS05560",144,217,303,318,136,499,429,177,326,686,140,205,111,131,140
"BLLJ_RS05565",448,580,826,745,421,1688,1182,585,1070,1839,497,654,342,411,469
"BLLJ_RS05570",377,534,671,757,395,1768,1275,556,926,1600,437,531,354,426,403
"BLLJ_RS05575",556,855,1034,1126,679,3468,2434,870,2030,3162,653,989,577,755,685
"BLLJ_RS05580",134,136,193,224,93,214,143,83,125,203,155,153,109,149,105
"BLLJ_RS05585",114,149,178,231,136,221,131,62,119,182,138,165,91,169,118
"BLLJ_RS05590",59,91,101,97,64,75,53,24,29,78,46,64,66,61,44
"BLLJ_RS05595",1536,2335,2782,3307,1484,2292,1802,730,1335,2654,1285,1847,1355,1831,1343
"BLLJ_RS05600",205,274,361,411,176,322,213,119,245,370,233,270,211,266,239
"BLLJ_RS05605",482,803,982,993,568,795,603,250,625,1029,548,714,532,665,620
"BLLJ_RS05635",940,1289,1658,1675,733,4698,3133,2163,3502,4555,984,1433,901,978,761
"BLLJ_RS05640",136,224,298,315,118,286,161,91,194,257,180,215,152,158,133
"BLLJ_RS05645",363,510,684,717,440,627,401,273,553,714,563,759,502,567,459
"BLLJ_RS05650",219,366,428,393,264,995,779,317,684,828,247,262,190,276,245
"BLLJ_RS05655",164,203,274,350,154,1421,1097,595,1091,1174,161,231,147,191,179
"BLLJ_RS05660",1727,2526,3168,3341,1803,3501,2777,1393,2538,4103,2058,2477,1646,2075,2333
"BLLJ_RS05665",2988,4788,6649,5886,3508,6767,5065,2963,4875,11167,4746,5087,3133,3932,5280
"BLLJ_RS05670",174,256,361,343,197,209,188,85,155,281,219,240,134,162,179
"BLLJ_RS05675",388,569,773,677,362,629,344,268,521,740,558,798,516,550,461
"BLLJ_RS05680",608,999,1418,1266,626,943,542,286,648,1233,886,1219,699,817,951
"BLLJ_RS05685",65,106,154,167,86,90,66,39,83,121,96,112,66,84,76
"BLLJ_RS05690",136,197,303,239,187,151,98,69,108,285,164,175,132,124,169
"BLLJ_RS05695",1281,1634,2140,2310,1175,1701,1371,795,1400,991,1487,2082,1412,1278,1141
"BLLJ_RS05700",162,194,249,226,111,585,392,200,318,486,185,245,141,173,177
"BLLJ_RS05705",1326,2245,3379,3061,1666,3646,3401,1526,2260,6568,1400,1808,1136,1425,1696
"BLLJ_RS05710",475,698,885,938,478,697,525,260,451,850,452,537,436,474,452
"BLLJ_RS05715",390,551,811,822,411,905,567,448,722,1373,610,746,475,538,612
"BLLJ_RS05720",590,741,1036,998,650,1045,697,457,807,1560,647,864,553,603,682
"BLLJ_RS05725",174,250,297,308,163,365,243,169,267,382,226,269,131,197,193
"BLLJ_RS05730",705,986,1229,1330,890,981,692,431,839,1500,665,988,578,763,662
"BLLJ_RS05735",45,62,65,68,38,163,101,38,80,119,40,81,46,40,43
"BLLJ_RS05740",75,101,120,134,49,161,130,62,157,156,99,159,79,103,101
"BLLJ_RS05745",155,238,298,276,190,189,196,78,163,287,141,208,138,155,157
"BLLJ_RS05750",17,26,32,19,14,18,13,12,18,52,15,20,15,12,19
"BLLJ_RS05755",143,199,261,319,159,177,112,64,131,221,113,160,138,129,145
"BLLJ_RS05760",39,47,74,70,43,73,49,19,63,101,42,60,38,48,40
"BLLJ_RS05765",10,32,35,33,20,26,13,6,10,18,14,21,17,21,22
"BLLJ_RS05770",36,52,68,96,50,22,23,12,24,45,36,50,40,53,21
"BLLJ_RS05775",44,71,81,63,67,22,33,16,20,43,38,65,33,36,46
"BLLJ_RS05780",91,132,146,167,127,110,91,46,85,129,151,149,91,134,102
"BLLJ_RS05785",665,929,1287,1473,671,1665,1087,836,1520,2487,824,1284,833,927,889
"BLLJ_RS05790",123,200,299,311,169,204,134,67,177,214,116,164,102,135,111
"BLLJ_RS05795",1,0,3,3,1,1,0,1,0,0,3,0,2,6,0
"BLLJ_RS05800",284,433,653,579,359,458,363,253,404,857,280,320,206,294,288
"BLLJ_RS05805",27,43,52,35,28,43,43,22,28,36,33,28,24,32,44
"BLLJ_RS05810",72,96,109,133,85,154,100,47,90,154,71,102,74,101,49
"BLLJ_RS05815",170,211,348,362,222,302,205,115,244,459,186,239,135,192,182
"BLLJ_RS05820",1283,1894,2399,2445,1359,1732,1174,1057,2077,3070,1219,1471,955,1253,1004
"BLLJ_RS05825",1408,1903,2618,2660,1596,3932,2837,2038,3147,6467,2328,3039,1933,2230,2359
"BLLJ_RS05830",1428,2031,2927,2746,1760,4779,3381,2039,3583,7977,2106,2948,1752,2298,2903
"BLLJ_RS05835",775,1021,1528,1482,958,2417,1764,1027,1682,3928,1146,1355,875,1240,1282
"BLLJ_RS05840",1503,1903,2924,2720,1674,1339,995,645,968,1864,1289,1562,1084,1288,991
"BLLJ_RS05845",4779,7745,9514,10950,4457,5496,4361,2475,4492,8166,5351,5987,4433,5647,4493
"BLLJ_RS05850",231,395,479,494,325,382,289,238,418,695,247,324,166,283,239
"BLLJ_RS05855",2306,2883,3626,3945,2219,5161,3424,2961,5302,7303,2369,3124,1904,2379,2014
"BLLJ_RS05860",379,508,600,666,316,601,414,243,399,650,507,701,414,439,404
"BLLJ_RS05865",97,169,176,188,90,107,62,35,74,114,118,117,74,84,77
"BLLJ_RS05870",345,491,632,661,343,396,326,109,251,360,431,493,375,476,355
"BLLJ_RS05875",534,762,1055,1050,530,1729,1110,816,1441,2023,719,1120,556,756,707
"BLLJ_RS05880",34,49,66,84,48,40,23,33,44,37,49,71,57,68,58
"BLLJ_RS05900",85,112,105,125,76,74,48,29,48,111,63,70,46,49,67
"BLLJ_RS05905",15,43,47,63,14,37,26,11,24,31,19,41,20,34,28
"BLLJ_RS11145",84,116,182,165,116,129,90,37,87,146,78,111,69,103,76
"BLLJ_RS11150",40,67,71,74,52,87,57,21,51,60,52,65,41,35,37
"BLLJ_RS05920",120,170,202,202,92,225,119,85,158,186,149,181,127,144,117
"BLLJ_RS05925",845,1286,1666,1879,993,1392,877,772,1607,2605,1124,1869,1123,1317,1129
"BLLJ_RS05930",105,153,171,203,126,106,49,44,83,72,128,176,116,129,92
"BLLJ_RS11155",17,35,40,34,21,14,18,10,17,24,14,21,18,24,14
"BLLJ_RS05940",452,718,878,913,463,777,579,258,576,994,600,650,425,584,523
"BLLJ_RS05945",40,59,96,97,54,114,65,19,46,71,59,59,45,34,50
"BLLJ_RS05950",174,270,359,384,163,464,271,139,314,415,257,402,173,245,206
"BLLJ_RS05955",157,203,225,283,173,236,166,86,197,260,151,249,111,157,159
"BLLJ_RS05960",346,411,545,517,338,942,556,373,809,918,320,457,280,337,277
"BLLJ_RS05965",5507,7345,8691,9441,5429,11919,8624,6417,13786,13527,4278,6177,4071,4938,2870
"BLLJ_RS05970",84,118,156,168,95,98,54,34,48,98,85,140,74,110,81
"BLLJ_RS05975",280,327,404,390,159,551,386,249,323,484,217,336,166,203,203
"BLLJ_RS05980",1615,2377,3002,3133,1558,1768,1186,661,1188,1637,1559,2132,1448,1565,1176
"BLLJ_RS05985",40,32,48,61,40,14,7,4,10,13,39,38,26,28,18
"BLLJ_RS05990",47,70,65,49,40,28,21,13,14,34,32,35,28,46,34
"BLLJ_RS05995",21,21,32,39,26,7,10,5,3,4,15,11,15,21,7
"BLLJ_RS06000",7,8,14,24,18,0,5,1,7,7,7,9,6,14,6
"BLLJ_RS06005",16,28,23,25,19,12,7,2,18,28,17,17,12,18,11
"BLLJ_RS06010",79,76,144,116,103,63,37,17,33,56,72,112,67,90,64
"BLLJ_RS06015",2488,3558,4559,4894,2717,4089,2554,2321,3833,5977,3089,4700,2921,3155,2916
"BLLJ_RS06020",326,416,580,540,400,489,348,185,437,777,314,432,303,391,421
"BLLJ_RS06025",447,668,908,1060,551,801,522,377,754,1259,595,861,581,705,636
"BLLJ_RS06030",1502,1947,2450,2667,1416,1663,1087,830,1398,2000,1415,1824,1233,1506,1053
"BLLJ_RS06035",161,226,278,303,168,199,157,58,145,213,174,247,155,204,158
"BLLJ_RS06040",175,277,392,417,238,222,182,76,159,263,232,259,159,198,184
"BLLJ_RS06045",259,301,420,423,267,331,200,184,359,410,222,316,255,229,203
"BLLJ_RS06050",477,588,781,824,457,571,418,292,593,636,476,593,361,451,323
"BLLJ_RS06055",194,249,327,324,169,428,261,137,256,390,163,258,145,201,144
"BLLJ_RS06060",86,116,144,156,76,81,62,36,67,120,89,113,70,92,58
"BLLJ_RS06065",287,442,638,631,337,1211,890,348,583,981,347,437,315,405,303
"BLLJ_RS06070",1509,1912,2825,2592,1838,4910,3210,1708,3460,4716,1642,2129,1137,1768,1323
"BLLJ_RS06075",3,4,17,15,2,12,4,9,5,15,8,20,11,7,2
"BLLJ_RS06080",162,185,301,262,152,302,236,144,265,380,165,237,171,182,175
"BLLJ_RS06085",451,627,836,849,472,680,561,201,465,614,596,743,403,586,507
"BLLJ_RS06090",368,568,746,917,487,1238,776,401,783,898,689,1074,668,792,709
"BLLJ_RS06095",153,177,291,324,172,1311,832,551,926,1026,256,330,212,216,229
"BLLJ_RS10945",13,36,39,48,20,101,61,29,51,64,30,30,20,25,38
"BLLJ_RS06100",84,93,127,121,82,101,89,31,70,105,62,84,67,67,58
"BLLJ_RS11335",6,18,17,22,12,19,9,5,7,22,5,13,6,5,7
"BLLJ_RS06120",1322,1893,2499,2571,1424,2732,2020,1050,1917,3582,1319,1492,1081,1456,1277
"BLLJ_RS06125",48406,71407,91258,88178,51379,63993,41399,40019,65355,89955,59049,88735,61703,57448,54210
"BLLJ_RS06130",411,572,765,926,496,445,311,168,315,537,391,444,380,399,325
"BLLJ_RS06135",596,836,1068,1176,668,842,557,357,617,1150,606,857,750,726,621
"BLLJ_RS06140",51,67,82,77,50,125,60,29,65,91,37,59,50,48,34
"BLLJ_RS06145",390,547,859,689,431,6372,4715,2408,3406,3569,473,657,428,420,494
"BLLJ_RS06150",75,70,90,101,44,94,73,35,45,82,51,80,50,58,34
"BLLJ_RS06155",273,355,488,432,264,555,355,236,332,519,301,435,215,241,229
"BLLJ_RS06160",419,581,714,775,426,883,561,346,655,1012,563,723,410,484,491
"BLLJ_RS06165",1102,1311,1654,1952,1202,1315,739,581,1100,1460,1123,1626,1009,1214,931
"BLLJ_RS06170",131,157,203,215,128,169,108,61,114,198,159,127,76,100,106
"BLLJ_RS06175",114,179,242,259,134,207,164,73,154,275,166,196,146,168,133
"BLLJ_RS06180",410,534,674,696,332,991,540,332,539,776,488,686,358,426,373
"BLLJ_RS06185",95,121,194,147,94,92,63,39,56,99,89,92,69,66,78
"BLLJ_RS06190",3793,5385,7051,5645,3091,7756,5977,4044,6907,9873,3200,3754,2175,3179,3088
"BLLJ_RS06195",154,185,230,242,190,154,75,68,156,200,123,188,124,147,100
"BLLJ_RS06200",65,105,134,136,67,72,56,37,77,130,50,78,41,68,55
"BLLJ_RS06205",537,577,794,810,594,756,547,440,604,885,442,644,406,505,386
"BLLJ_RS06210",270,357,460,455,293,597,374,211,373,649,214,311,188,327,228
"BLLJ_RS06215",1016,1280,2083,1681,1120,2808,1891,1381,2122,3388,1135,1650,995,1073,1191
"BLLJ_RS06220",196,286,350,374,168,1026,766,573,905,815,217,416,233,243,273
"BLLJ_RS06225",216,341,398,362,267,1142,768,432,1128,1163,285,441,227,296,300
"BLLJ_RS06230",429,646,877,870,489,983,746,375,615,1198,476,673,380,492,469
"BLLJ_RS06235",863,1075,1585,1435,800,2904,1989,1396,2071,3377,846,1150,731,782,774
"BLLJ_RS06240",52,54,74,83,38,164,113,33,77,108,66,76,43,62,60
"BLLJ_RS06245",130,187,327,290,143,388,323,168,270,434,165,211,153,160,160
"BLLJ_RS06250",117,178,262,236,140,463,280,148,265,358,134,183,146,123,156
"BLLJ_RS06255",354,529,703,605,334,1311,907,510,866,1440,330,436,281,350,381
"BLLJ_RS06260",80,137,184,215,92,188,127,59,155,196,97,207,99,120,119
"BLLJ_RS06265",163,135,182,218,134,169,92,35,85,143,122,161,103,135,92
"BLLJ_RS06270",99,110,168,173,88,151,121,44,83,146,104,117,88,92,104
"BLLJ_RS06275",692,1027,1270,1366,673,2298,1540,665,1184,1919,952,1435,861,959,976
"BLLJ_RS06280",3994,5842,7630,7534,3924,2181,1687,923,2037,4133,3592,3512,2379,3392,2869
"BLLJ_RS06285",664,899,1186,1379,858,788,453,417,760,1241,876,1289,879,966,753
"BLLJ_RS06290",1006,1260,1794,1878,1005,1522,940,895,1306,2056,1417,2101,1364,1371,1246
"BLLJ_RS06295",142,192,262,291,148,140,108,76,128,251,144,157,75,161,126
"BLLJ_RS06300",238,376,432,493,209,276,224,126,292,384,243,326,182,296,250
"BLLJ_RS06305",103,159,186,173,99,207,142,94,156,252,135,171,122,158,123
"BLLJ_RS06310",661,891,1092,1205,677,608,402,194,448,789,569,695,563,683,440
"BLLJ_RS06315",34,44,57,49,41,34,21,12,16,32,24,37,22,40,17
"BLLJ_RS06320",32,45,63,69,45,45,16,10,14,38,37,42,31,32,24
"BLLJ_RS06325",32,37,41,39,21,24,18,14,21,23,23,33,11,11,9
"BLLJ_RS06330",49,76,94,84,52,43,26,5,26,43,35,41,27,46,35
"BLLJ_RS06335",74,70,108,90,58,47,33,19,45,74,53,70,52,55,41
"BLLJ_RS06340",356,521,599,761,449,303,256,143,246,489,277,350,325,312,266
"BLLJ_RS06345",50,67,85,98,63,111,68,30,70,125,56,88,31,51,51
"BLLJ_RS06350",70,105,166,138,99,114,106,63,97,142,68,69,68,80,65
"BLLJ_RS06355",666,905,1238,1175,544,1503,945,605,1128,1478,739,1007,654,719,571
"BLLJ_RS06360",631,986,1345,1359,688,2717,1924,816,1655,2895,875,1239,690,937,982
"BLLJ_RS06365",126,195,239,256,136,169,114,64,169,226,172,210,138,182,141
"BLLJ_RS06370",1869,2686,3629,3631,1967,2982,2372,1215,1970,3179,2039,2773,1688,1899,1658
"BLLJ_RS06375",743,1167,1488,1421,751,1348,1012,446,977,1664,835,1235,758,936,784
"BLLJ_RS06380",2915,3921,5246,5818,2877,3512,2507,1147,2194,3541,2636,3562,2453,3043,2354
"BLLJ_RS06385",62,81,75,104,41,70,50,22,55,88,39,73,61,49,55
